tanggal,provinsi,0-5,6-18,19-30,31-45,46-59,≥ 60,tidak_diketahui
2022-07-24,DKI JAKARTA,41449.0,133769.0,360840,389520.0,243733.0,128039.0,14095
2022-07-24,JAWA BARAT,35573.0,121700.0,303780,321875.0,224698.0,105657.0,13771
2022-07-24,JAWA TENGAH,18480.0,61501.0,150073,164205.0,144351.0,90870.0,260
2022-07-24,JAWA TIMUR,13667.0,45089.0,141850,158314.0,136836.0,86019.0,1185
2022-07-24,BANTEN,9499.0,30490.0,90104,94477.0,58278.0,23642.0,366
2022-07-24,DAERAH ISTIMEWA YOGYAKARTA,9412.0,32804.0,50202,51076.0,45361.0,31573.0,1352
2022-07-24,KALIMANTAN TIMUR,7119.0,21555.0,57945,67105.0,36742.0,14010.0,2380
2022-07-24,BALI,5127.0,15703.0,42229,42189.0,34096.0,21943.0,46
2022-07-24,SUMATERA UTARA,4141.0,17350.0,40392,43475.0,30169.0,19675.0,494
2022-07-24,RIAU,5472.0,16934.0,38867,45732.0,29525.0,14079.0,456
2022-07-24,SULAWESI SELATAN,4071.0,14113.0,40924,42313.0,25060.0,14700.0,2625
2022-07-24,SUMATERA BARAT,2989.0,12683.0,26225,26767.0,20636.0,13356.0,1261
2022-07-24,NUSA TENGGARA TIMUR,3300.0,15257.0,25731,25825.0,14259.0,8022.0,1745
2022-07-24,KALIMANTAN SELATAN,2133.0,8215.0,23748,25293.0,17089.0,7565.0,993
2022-07-24,SUMATERA SELATAN,2263.0,6769.0,19786,24471.0,16125.0,10889.0,498
2022-07-24,LAMPUNG,1549.0,5999.0,16729,20862.0,16984.0,11517.0,1000
2022-07-24,KEPULAUAN RIAU,2298.0,6942.0,21326,22217.0,12019.0,5253.0,236
2022-07-24,KEPULAUAN BANGKA BELITUNG,2405.0,10842.0,15270,19419.0,10940.0,6806.0,73
2022-07-24,KALIMANTAN BARAT,1779.0,9178.0,17285,18047.0,11603.0,6851.0,147
2022-07-24,SULAWESI TENGAH,1882.0,6502.0,16567,17804.0,11232.0,6442.0,421
2022-07-24,KALIMANTAN TENGAH,1857.0,6455.0,15345,16782.0,10934.0,4751.0,320
2022-07-24,SULAWESI UTARA,1318.0,4700.0,13057,15050.0,10550.0,6759.0,162
2022-07-24,PAPUA,1668.0,5022.0,14227,15735.0,8784.0,2859.0,536
2022-07-24,KALIMANTAN UTARA,1296.0,5918.0,12746,14273.0,7456.0,3248.0,394
2022-07-24,ACEH,670.0,3112.0,10216,13621.0,9503.0,6571.0,22
2022-07-24,JAMBI,1178.0,4750.0,9443,11322.0,7655.0,3913.0,65
2022-07-24,NUSA TENGGARA BARAT,1154.0,2500.0,10317,11377.0,6661.0,4080.0,57
2022-07-24,PAPUA BARAT,1107.0,3377.0,9777,10488.0,4930.0,1892.0,86
2022-07-24,BENGKULU,697.0,2993.0,7154,8911.0,5988.0,3323.0,59
2022-07-24,SULAWESI TENGGARA,579.0,2057.0,8028,8134.0,4422.0,2252.0,154
2022-07-24,MALUKU,298.0,1593.0,5451,6125.0,3291.0,1186.0,656
2022-07-24,SULAWESI BARAT,386.0,2016.0,4453,4799.0,2448.0,1406.0,58
2022-07-24,MALUKU UTARA,286.0,1070.0,4393,5073.0,2340.0,1118.0,256
2022-07-24,GORONTALO,260.0,1323.0,4376,4166.0,2541.0,1203.0,50
2022-07-22,DKI JAKARTA,41259.0,132726.0,359681,388220.0,243073.0,127579.0,14095
2022-07-22,JAWA BARAT,35514.0,121440.0,303417,321427.0,224472.0,105508.0,13771
2022-07-22,JAWA TENGAH,18473.0,61467.0,150038,164160.0,144326.0,90846.0,260
2022-07-22,JAWA TIMUR,13640.0,45000.0,141693,158187.0,136762.0,85935.0,1185
2022-07-22,BANTEN,9451.0,30265.0,89865,94187.0,58135.0,23565.0,366
2022-07-22,DAERAH ISTIMEWA YOGYAKARTA,9405.0,32768.0,50189,51051.0,45344.0,31561.0,1352
2022-07-22,KALIMANTAN TIMUR,7118.0,21546.0,57934,67092.0,36736.0,14009.0,2380
2022-07-22,BALI,5116.0,15663.0,42135,42103.0,34047.0,21899.0,46
2022-07-22,SUMATERA UTARA,4137.0,17336.0,40372,43459.0,30161.0,19668.0,494
2022-07-22,RIAU,5469.0,16931.0,38859,45717.0,29514.0,14076.0,456
2022-07-22,SULAWESI SELATAN,4070.0,14110.0,40920,42306.0,25059.0,14693.0,2625
2022-07-22,SUMATERA BARAT,2988.0,12683.0,26221,26764.0,20635.0,13355.0,1261
2022-07-22,NUSA TENGGARA TIMUR,3299.0,15256.0,25719,25819.0,14257.0,8022.0,1745
2022-07-22,KALIMANTAN SELATAN,2123.0,8197.0,23726,25261.0,17076.0,7550.0,994
2022-07-22,SUMATERA SELATAN,2261.0,6763.0,19780,24461.0,16123.0,10883.0,498
2022-07-22,LAMPUNG,1549.0,5995.0,16727,20857.0,16982.0,11515.0,1000
2022-07-22,KEPULAUAN RIAU,2297.0,6942.0,21325,22214.0,12018.0,5253.0,236
2022-07-22,KEPULAUAN BANGKA BELITUNG,2405.0,10841.0,15267,19417.0,10937.0,6805.0,73
2022-07-22,KALIMANTAN BARAT,1778.0,9178.0,17280,18041.0,11600.0,6848.0,147
2022-07-22,SULAWESI TENGAH,1882.0,6502.0,16567,17804.0,11232.0,6441.0,421
2022-07-22,KALIMANTAN TENGAH,1856.0,6441.0,15329,16771.0,10916.0,4744.0,320
2022-07-22,SULAWESI UTARA,1318.0,4698.0,13053,15048.0,10550.0,6759.0,162
2022-07-22,PAPUA,1668.0,5017.0,14223,15730.0,8780.0,2859.0,536
2022-07-22,KALIMANTAN UTARA,1296.0,5917.0,12746,14272.0,7456.0,3247.0,394
2022-07-22,ACEH,670.0,3112.0,10217,13620.0,9503.0,6571.0,22
2022-07-22,JAMBI,1178.0,4748.0,9442,11320.0,7654.0,3911.0,65
2022-07-22,NUSA TENGGARA BARAT,1153.0,2501.0,10318,11377.0,6660.0,4079.0,57
2022-07-22,PAPUA BARAT,1107.0,3375.0,9777,10485.0,4930.0,1892.0,86
2022-07-22,BENGKULU,697.0,2993.0,7154,8911.0,5988.0,3323.0,59
2022-07-22,SULAWESI TENGGARA,579.0,2057.0,8028,8134.0,4422.0,2252.0,154
2022-07-22,MALUKU,298.0,1592.0,5451,6124.0,3291.0,1184.0,656
2022-07-22,SULAWESI BARAT,386.0,2016.0,4453,4799.0,2448.0,1406.0,58
2022-07-22,MALUKU UTARA,286.0,1070.0,4393,5073.0,2340.0,1118.0,256
2022-07-22,GORONTALO,260.0,1323.0,4376,4166.0,2540.0,1203.0,50
2022-07-21,DKI JAKARTA,41171.0,132288.0,359023,387516.0,242720.0,127355.0,14095
2022-07-21,JAWA BARAT,35462.0,121295.0,303195,321159.0,224310.0,105424.0,13771
2022-07-21,JAWA TENGAH,18471.0,61449.0,150011,164134.0,144313.0,90830.0,260
2022-07-21,JAWA TIMUR,13626.0,44970.0,141617,158107.0,136715.0,85897.0,1185
2022-07-21,BANTEN,9419.0,30167.0,89735,94014.0,58057.0,23526.0,366
2022-07-21,DAERAH ISTIMEWA YOGYAKARTA,9403.0,32748.0,50180,51041.0,45337.0,31551.0,1351
2022-07-21,KALIMANTAN TIMUR,7116.0,21539.0,57931,67082.0,36728.0,14007.0,2380
2022-07-21,BALI,5109.0,15642.0,42095,42073.0,34017.0,21869.0,46
2022-07-21,SUMATERA UTARA,4135.0,17331.0,40356,43444.0,30158.0,19664.0,494
2022-07-21,RIAU,5467.0,16929.0,38858,45709.0,29512.0,14075.0,456
2022-07-21,SULAWESI SELATAN,4069.0,14108.0,40914,42303.0,25058.0,14692.0,2625
2022-07-21,SUMATERA BARAT,2988.0,12683.0,26220,26762.0,20634.0,13354.0,1261
2022-07-21,NUSA TENGGARA TIMUR,3299.0,15256.0,25716,25819.0,14257.0,8022.0,1745
2022-07-21,KALIMANTAN SELATAN,2121.0,8193.0,23710,25239.0,17067.0,7546.0,994
2022-07-21,SUMATERA SELATAN,2258.0,6760.0,19775,24456.0,16121.0,10877.0,498
2022-07-21,LAMPUNG,1549.0,5994.0,16727,20857.0,16981.0,11514.0,1000
2022-07-21,KEPULAUAN RIAU,2295.0,6941.0,21325,22211.0,12015.0,5253.0,236
2022-07-21,KEPULAUAN BANGKA BELITUNG,2405.0,10841.0,15264,19416.0,10937.0,6804.0,73
2022-07-21,KALIMANTAN BARAT,1777.0,9177.0,17280,18040.0,11600.0,6848.0,147
2022-07-21,SULAWESI TENGAH,1882.0,6502.0,16567,17804.0,11232.0,6441.0,421
2022-07-21,KALIMANTAN TENGAH,1851.0,6430.0,15324,16764.0,10914.0,4741.0,320
2022-07-21,SULAWESI UTARA,1318.0,4697.0,13052,15047.0,10550.0,6759.0,162
2022-07-21,PAPUA,1668.0,5015.0,14221,15729.0,8772.0,2859.0,536
2022-07-21,KALIMANTAN UTARA,1296.0,5917.0,12746,14272.0,7456.0,3247.0,394
2022-07-21,ACEH,670.0,3112.0,10217,13620.0,9503.0,6571.0,22
2022-07-21,JAMBI,1178.0,4748.0,9442,11320.0,7653.0,3911.0,65
2022-07-21,NUSA TENGGARA BARAT,1153.0,2501.0,10316,11376.0,6660.0,4078.0,57
2022-07-21,PAPUA BARAT,1107.0,3372.0,9774,10484.0,4930.0,1892.0,86
2022-07-21,BENGKULU,697.0,2993.0,7154,8910.0,5988.0,3323.0,59
2022-07-21,SULAWESI TENGGARA,579.0,2057.0,8028,8134.0,4422.0,2252.0,154
2022-07-21,MALUKU,298.0,1592.0,5451,6124.0,3291.0,1184.0,656
2022-07-21,SULAWESI BARAT,386.0,2016.0,4453,4799.0,2448.0,1406.0,58
2022-07-21,MALUKU UTARA,286.0,1070.0,4393,5073.0,2340.0,1118.0,256
2022-07-21,GORONTALO,260.0,1321.0,4376,4165.0,2540.0,1203.0,50
2022-07-21,DKI JAKARTA,41170.0,132289.0,359022,387518.0,242719.0,127355.0,14095
2022-07-21,JAWA BARAT,35462.0,121295.0,303196,321158.0,224310.0,105424.0,13771
2022-07-21,JAWA TIMUR,13627.0,44970.0,141616,158107.0,136715.0,85897.0,1185
2022-07-21,BANTEN,9419.0,30166.0,89737,94013.0,58058.0,23525.0,366
2022-07-21,DAERAH ISTIMEWA YOGYAKARTA,9403.0,32749.0,50179,51041.0,45338.0,31550.0,1351
2022-07-19,DKI JAKARTA,40907.0,131079.0,356835,385154.0,241689.0,126654.0,14094
2022-07-19,JAWA BARAT,35357.0,120957.0,302446,320333.0,223851.0,105145.0,13771
2022-07-19,JAWA TENGAH,18459.0,61412.0,149948,164080.0,144266.0,90791.0,260
2022-07-19,JAWA TIMUR,13590.0,44833.0,141343,157848.0,136564.0,85766.0,1185
2022-07-19,BANTEN,9344.0,29866.0,89255,93398.0,57753.0,23375.0,366
2022-07-19,DAERAH ISTIMEWA YOGYAKARTA,9392.0,32706.0,50140,51010.0,45312.0,31526.0,1351
2022-07-19,KALIMANTAN TIMUR,7107.0,21528.0,57903,67044.0,36712.0,13999.0,2380
2022-07-19,BALI,5085.0,15589.0,41975,41940.0,33943.0,21808.0,46
2022-07-19,SUMATERA UTARA,4127.0,17311.0,40329,43416.0,30143.0,19650.0,494
2022-07-19,RIAU,5465.0,16924.0,38845,45698.0,29506.0,14073.0,456
2022-07-19,SULAWESI SELATAN,4069.0,14104.0,40911,42296.0,25053.0,14685.0,2625
2022-07-19,SUMATERA BARAT,2988.0,12681.0,26218,26762.0,20630.0,13351.0,1261
2022-07-19,NUSA TENGGARA TIMUR,3298.0,15251.0,25693,25807.0,14254.0,8021.0,1745
2022-07-19,KALIMANTAN SELATAN,2115.0,8181.0,23668,25203.0,17041.0,7532.0,993
2022-07-19,SUMATERA SELATAN,2258.0,6753.0,19767,24443.0,16111.0,10869.0,498
2022-07-19,LAMPUNG,1547.0,5987.0,16716,20850.0,16979.0,11510.0,1000
2022-07-19,KEPULAUAN RIAU,2295.0,6941.0,21320,22208.0,12014.0,5252.0,236
2022-07-19,KEPULAUAN BANGKA BELITUNG,2405.0,10837.0,15258,19407.0,10936.0,6804.0,73
2022-07-19,KALIMANTAN BARAT,1775.0,9174.0,17269,18035.0,11598.0,6844.0,147
2022-07-19,SULAWESI TENGAH,1882.0,6501.0,16567,17804.0,11231.0,6441.0,421
2022-07-19,KALIMANTAN TENGAH,1850.0,6414.0,15303,16749.0,10906.0,4731.0,320
2022-07-19,SULAWESI UTARA,1317.0,4695.0,13045,15036.0,10546.0,6758.0,162
2022-07-19,PAPUA,1666.0,5009.0,14209,15715.0,8769.0,2858.0,536
2022-07-19,KALIMANTAN UTARA,1296.0,5917.0,12743,14271.0,7456.0,3247.0,394
2022-07-19,ACEH,670.0,3112.0,10217,13620.0,9503.0,6571.0,22
2022-07-19,JAMBI,1178.0,4747.0,9441,11318.0,7652.0,3907.0,65
2022-07-19,NUSA TENGGARA BARAT,1154.0,2499.0,10315,11375.0,6660.0,4077.0,57
2022-07-19,PAPUA BARAT,1107.0,3370.0,9762,10477.0,4927.0,1890.0,86
2022-07-19,BENGKULU,697.0,2993.0,7154,8909.0,5988.0,3323.0,59
2022-07-19,SULAWESI TENGGARA,578.0,2055.0,8027,8134.0,4422.0,2251.0,154
2022-07-19,MALUKU,298.0,1592.0,5450,6124.0,3290.0,1184.0,656
2022-07-19,SULAWESI BARAT,386.0,2016.0,4453,4799.0,2448.0,1406.0,58
2022-07-19,MALUKU UTARA,286.0,1070.0,4393,5073.0,2340.0,1118.0,256
2022-07-19,GORONTALO,260.0,1321.0,4373,4164.0,2539.0,1200.0,50
2022-07-16,DKI JAKARTA,40751.0,130373.0,355694,383817.0,241005.0,126249.0,14094
2022-07-16,JAWA BARAT,35322.0,120822.0,302057,319932.0,223627.0,105036.0,13771
2022-07-16,JAWA TENGAH,18455.0,61386.0,149886,164045.0,144247.0,90768.0,260
2022-07-16,JAWA TIMUR,13578.0,44774.0,141210,157740.0,136505.0,85731.0,1185
2022-07-16,BANTEN,9315.0,29707.0,89058,93058.0,57608.0,23298.0,366
2022-07-16,DAERAH ISTIMEWA YOGYAKARTA,9390.0,32678.0,50122,50988.0,45296.0,31514.0,1351
2022-07-16,KALIMANTAN TIMUR,7104.0,21514.0,57889,67022.0,36706.0,13998.0,2380
2022-07-16,BALI,5072.0,15572.0,41914,41874.0,33900.0,21780.0,46
2022-07-16,SUMATERA UTARA,4125.0,17308.0,40315,43401.0,30139.0,19642.0,494
2022-07-16,RIAU,5463.0,16922.0,38842,45696.0,29501.0,14073.0,456
2022-07-16,SULAWESI SELATAN,4069.0,14103.0,40910,42294.0,25052.0,14683.0,2625
2022-07-16,SUMATERA BARAT,2988.0,12681.0,26217,26758.0,20630.0,13348.0,1261
2022-07-16,NUSA TENGGARA TIMUR,3298.0,15251.0,25683,25806.0,14251.0,8020.0,1745
2022-07-16,KALIMANTAN SELATAN,2111.0,8175.0,23647,25183.0,17028.0,7525.0,993
2022-07-16,SUMATERA SELATAN,2257.0,6748.0,19761,24440.0,16106.0,10867.0,498
2022-07-16,LAMPUNG,1547.0,5987.0,16713,20848.0,16977.0,11509.0,1000
2022-07-16,KEPULAUAN RIAU,2295.0,6940.0,21318,22207.0,12011.0,5248.0,236
2022-07-16,KEPULAUAN BANGKA BELITUNG,2403.0,10836.0,15248,19400.0,10933.0,6803.0,73
2022-07-16,KALIMANTAN BARAT,1774.0,9172.0,17260,18030.0,11596.0,6839.0,147
2022-07-16,SULAWESI TENGAH,1882.0,6500.0,16567,17804.0,11230.0,6441.0,421
2022-07-16,KALIMANTAN TENGAH,1849.0,6413.0,15294,16739.0,10899.0,4729.0,320
2022-07-16,SULAWESI UTARA,1316.0,4694.0,13042,15035.0,10544.0,6757.0,162
2022-07-16,PAPUA,1665.0,5008.0,14202,15710.0,8767.0,2857.0,536
2022-07-16,KALIMANTAN UTARA,1296.0,5917.0,12743,14271.0,7456.0,3247.0,394
2022-07-16,ACEH,670.0,3112.0,10215,13620.0,9502.0,6571.0,22
2022-07-16,JAMBI,1178.0,4747.0,9441,11317.0,7651.0,3907.0,65
2022-07-16,NUSA TENGGARA BARAT,1153.0,2498.0,10313,11375.0,6660.0,4078.0,57
2022-07-16,PAPUA BARAT,1107.0,3370.0,9761,10475.0,4927.0,1889.0,86
2022-07-16,BENGKULU,697.0,2993.0,7154,8909.0,5988.0,3323.0,59
2022-07-16,SULAWESI TENGGARA,578.0,2055.0,8027,8134.0,4422.0,2251.0,154
2022-07-16,MALUKU,298.0,1591.0,5450,6123.0,3290.0,1184.0,656
2022-07-16,SULAWESI BARAT,386.0,2016.0,4452,4799.0,2448.0,1406.0,58
2022-07-16,MALUKU UTARA,286.0,1070.0,4393,5073.0,2340.0,1118.0,256
2022-07-16,GORONTALO,260.0,1321.0,4373,4164.0,2539.0,1200.0,50
2022-07-16,DKI JAKARTA,40751.0,130373.0,355695,383815.0,241007.0,126248.0,14094
2022-07-16,JAWA BARAT,35322.0,120822.0,302060,319930.0,223627.0,105035.0,13771
2022-07-16,BANTEN,9314.0,29709.0,89058,93057.0,57608.0,23298.0,366
2022-07-16,DAERAH ISTIMEWA YOGYAKARTA,9390.0,32678.0,50122,50989.0,45295.0,31514.0,1351
2022-07-16,BALI,5072.0,15572.0,41915,41873.0,33900.0,21780.0,46
2022-07-16,SUMATERA UTARA,4125.0,17307.0,40315,43402.0,30139.0,19642.0,494
2022-07-16,LAMPUNG,1547.0,5987.0,16712,20849.0,16977.0,11509.0,1000
2022-07-16,DKI JAKARTA,40751.0,130373.0,355696,383815.0,241007.0,126248.0,14094
2022-07-16,JAWA BARAT,35322.0,120822.0,302057,319933.0,223627.0,105035.0,13771
2022-07-16,JAWA TENGAH,18455.0,61386.0,149887,164046.0,144246.0,90768.0,260
2022-07-16,BANTEN,9314.0,29709.0,89059,93056.0,57608.0,23298.0,366
2022-07-16,KALIMANTAN TIMUR,7104.0,21514.0,57889,67023.0,36705.0,13998.0,2380
2022-07-16,SUMATERA SELATAN,2257.0,6748.0,19762,24439.0,16106.0,10867.0,498
2022-07-16,KEPULAUAN RIAU,2295.0,6940.0,21317,22208.0,12011.0,5248.0,236
2022-07-16,DKI JAKARTA,40705.0,130241.0,355239,383346.0,240746.0,126087.0,14094
2022-07-16,JAWA BARAT,35285.0,120744.0,301769,319645.0,223419.0,104920.0,13771
2022-07-16,JAWA TENGAH,18455.0,61373.0,149877,164028.0,144236.0,90759.0,260
2022-07-16,JAWA TIMUR,13562.0,44733.0,141079,157628.0,136454.0,85680.0,1185
2022-07-16,BANTEN,9287.0,29654.0,88888,92854.0,57511.0,23248.0,366
2022-07-16,DAERAH ISTIMEWA YOGYAKARTA,9385.0,32669.0,50117,50981.0,45288.0,31506.0,1351
2022-07-16,KALIMANTAN TIMUR,7102.0,21513.0,57886,67012.0,36702.0,13997.0,2380
2022-07-16,BALI,5065.0,15556.0,41873,41822.0,33870.0,21754.0,46
2022-07-16,SUMATERA UTARA,4125.0,17305.0,40306,43389.0,30134.0,19639.0,494
2022-07-16,RIAU,5463.0,16922.0,38839,45691.0,29500.0,14073.0,456
2022-07-16,SULAWESI SELATAN,4068.0,14102.0,40905,42292.0,25049.0,14677.0,2625
2022-07-16,SUMATERA BARAT,2988.0,12681.0,26216,26757.0,20630.0,13348.0,1261
2022-07-16,NUSA TENGGARA TIMUR,3298.0,15251.0,25675,25805.0,14249.0,8020.0,1745
2022-07-16,KALIMANTAN SELATAN,2109.0,8174.0,23633,25174.0,17026.0,7522.0,993
2022-07-16,SUMATERA SELATAN,2257.0,6747.0,19760,24434.0,16103.0,10864.0,498
2022-07-16,LAMPUNG,1546.0,5987.0,16711,20840.0,16976.0,11508.0,1000
2022-07-16,KEPULAUAN RIAU,2295.0,6940.0,21316,22206.0,12011.0,5247.0,236
2022-07-16,KEPULAUAN BANGKA BELITUNG,2403.0,10836.0,15236,19397.0,10932.0,6801.0,73
2022-07-16,KALIMANTAN BARAT,1774.0,9170.0,17257,18028.0,11596.0,6838.0,147
2022-07-16,SULAWESI TENGAH,1882.0,6500.0,16567,17801.0,11230.0,6441.0,421
2022-07-16,KALIMANTAN TENGAH,1849.0,6413.0,15291,16737.0,10899.0,4725.0,320
2022-07-16,SULAWESI UTARA,1315.0,4694.0,13042,15035.0,10544.0,6757.0,162
2022-07-16,PAPUA,1664.0,5007.0,14200,15707.0,8766.0,2857.0,536
2022-07-16,JAMBI,1178.0,4747.0,9440,11316.0,7651.0,3907.0,65
2022-07-16,NUSA TENGGARA BARAT,1153.0,2498.0,10313,11374.0,6660.0,4077.0,57
2022-07-16,PAPUA BARAT,1107.0,3370.0,9759,10474.0,4926.0,1889.0,86
2022-07-16,SULAWESI TENGGARA,577.0,2055.0,8026,8134.0,4422.0,2251.0,154
2022-07-16,MALUKU,298.0,1591.0,5450,6124.0,3288.0,1184.0,656
2022-07-16,GORONTALO,260.0,1321.0,4373,4163.0,2539.0,1200.0,50
2022-07-16,DKI JAKARTA,40637.0,129914.0,354644,382743.0,240413.0,125858.0,14094
2022-07-16,JAWA BARAT,35244.0,120637.0,301530,319338.0,223254.0,104824.0,13771
2022-07-16,JAWA TENGAH,18448.0,61362.0,149860,164006.0,144223.0,90754.0,260
2022-07-16,JAWA TIMUR,13552.0,44708.0,140984,157551.0,136417.0,85652.0,1185
2022-07-16,BANTEN,9262.0,29535.0,88726,92633.0,57398.0,23195.0,366
2022-07-16,DAERAH ISTIMEWA YOGYAKARTA,9385.0,32661.0,50109,50975.0,45282.0,31500.0,1351
2022-07-16,KALIMANTAN TIMUR,7101.0,21510.0,57883,67004.0,36698.0,13997.0,2380
2022-07-16,BALI,5055.0,15542.0,41830,41782.0,33845.0,21716.0,46
2022-07-16,SUMATERA UTARA,4122.0,17296.0,40296,43380.0,30127.0,19638.0,494
2022-07-16,RIAU,5462.0,16921.0,38838,45689.0,29500.0,14073.0,456
2022-07-16,SULAWESI SELATAN,4067.0,14101.0,40904,42290.0,25048.0,14674.0,2625
2022-07-16,NUSA TENGGARA TIMUR,3298.0,15250.0,25671,25803.0,14249.0,8019.0,1745
2022-07-16,KALIMANTAN SELATAN,2106.0,8172.0,23626,25164.0,17021.0,7518.0,993
2022-07-16,SUMATERA SELATAN,2257.0,6747.0,19754,24433.0,16101.0,10863.0,498
2022-07-16,LAMPUNG,1546.0,5985.0,16710,20838.0,16974.0,11508.0,1000
2022-07-16,KEPULAUAN RIAU,2295.0,6940.0,21316,22204.0,12011.0,5247.0,236
2022-07-16,KEPULAUAN BANGKA BELITUNG,2402.0,10836.0,15233,19397.0,10932.0,6801.0,73
2022-07-16,KALIMANTAN BARAT,1774.0,9170.0,17255,18026.0,11596.0,6838.0,147
2022-07-16,SULAWESI TENGAH,1882.0,6500.0,16566,17801.0,11230.0,6441.0,421
2022-07-16,KALIMANTAN TENGAH,1848.0,6409.0,15284,16729.0,10894.0,4724.0,320
2022-07-16,SULAWESI UTARA,1315.0,4694.0,13041,15035.0,10543.0,6757.0,162
2022-07-16,PAPUA,1664.0,5006.0,14196,15706.0,8765.0,2857.0,536
2022-07-16,ACEH,670.0,3112.0,10215,13619.0,9502.0,6571.0,22
2022-07-16,JAMBI,1178.0,4747.0,9438,11314.0,7650.0,3907.0,65
2022-07-16,NUSA TENGGARA BARAT,1153.0,2498.0,10311,11374.0,6660.0,4076.0,57
2022-07-16,PAPUA BARAT,1107.0,3370.0,9759,10472.0,4926.0,1889.0,86
2022-07-16,MALUKU,298.0,1591.0,5449,6124.0,3288.0,1184.0,656
2022-07-16,SULAWESI BARAT,386.0,2016.0,4452,4799.0,2447.0,1406.0,58
2022-07-16,GORONTALO,260.0,1321.0,4372,4163.0,2539.0,1200.0,50
2022-07-11,DKI JAKARTA,40471.0,129364.0,352918,381132.0,239535.0,125372.0,14084
2022-07-11,JAWA BARAT,35163.0,120483.0,301020,318790.0,222951.0,104652.0,13770
2022-07-11,JAWA TENGAH,18432.0,61324.0,149795,163947.0,144178.0,90732.0,260
2022-07-11,JAWA TIMUR,13534.0,44647.0,140844,157404.0,136326.0,85592.0,1185
2022-07-11,BANTEN,9229.0,29414.0,88408,92294.0,57229.0,23114.0,366
2022-07-11,DAERAH ISTIMEWA YOGYAKARTA,9378.0,32646.0,50089,50957.0,45260.0,31483.0,1351
2022-07-11,KALIMANTAN TIMUR,7095.0,21503.0,57876,66982.0,36692.0,13996.0,2380
2022-07-11,BALI,5034.0,15507.0,41759,41698.0,33797.0,21679.0,46
2022-07-11,SUMATERA UTARA,4118.0,17290.0,40284,43364.0,30119.0,19632.0,494
2022-07-11,RIAU,5462.0,16913.0,38832,45686.0,29498.0,14073.0,456
2022-07-11,SULAWESI SELATAN,4064.0,14101.0,40900,42284.0,25039.0,14667.0,2625
2022-07-11,SUMATERA BARAT,2987.0,12681.0,26214,26757.0,20627.0,13347.0,1261
2022-07-11,NUSA TENGGARA TIMUR,3298.0,15250.0,25659,25798.0,14249.0,8019.0,1745
2022-07-11,KALIMANTAN SELATAN,2104.0,8170.0,23605,25150.0,17003.0,7508.0,993
2022-07-11,SUMATERA SELATAN,2257.0,6746.0,19748,24427.0,16098.0,10856.0,498
2022-07-11,LAMPUNG,1546.0,5985.0,16704,20830.0,16973.0,11503.0,1000
2022-07-11,KEPULAUAN RIAU,2294.0,6934.0,21315,22202.0,12011.0,5247.0,236
2022-07-11,KEPULAUAN BANGKA BELITUNG,2402.0,10836.0,15204,19390.0,10928.0,6801.0,73
2022-07-11,KALIMANTAN BARAT,1774.0,9169.0,17247,18023.0,11593.0,6833.0,147
2022-07-11,SULAWESI TENGAH,1882.0,6500.0,16563,17801.0,11228.0,6441.0,421
2022-07-11,KALIMANTAN TENGAH,1845.0,6407.0,15277,16726.0,10891.0,4716.0,320
2022-07-11,SULAWESI UTARA,1314.0,4692.0,13040,15035.0,10543.0,6757.0,162
2022-07-11,PAPUA,1663.0,5006.0,14192,15699.0,8764.0,2854.0,536
2022-07-11,KALIMANTAN UTARA,1296.0,5917.0,12743,14271.0,7456.0,3247.0,394
2022-07-11,ACEH,670.0,3112.0,10215,13614.0,9502.0,6571.0,22
2022-07-11,JAMBI,1177.0,4747.0,9434,11313.0,7650.0,3907.0,65
2022-07-11,NUSA TENGGARA BARAT,1153.0,2498.0,10311,11374.0,6660.0,4075.0,57
2022-07-11,PAPUA BARAT,1104.0,3368.0,9757,10469.0,4926.0,1889.0,86
2022-07-11,BENGKULU,697.0,2993.0,7154,8909.0,5988.0,3323.0,59
2022-07-11,SULAWESI TENGGARA,576.0,2054.0,8025,8133.0,4419.0,2251.0,154
2022-07-11,MALUKU,298.0,1591.0,5449,6123.0,3286.0,1184.0,656
2022-07-11,SULAWESI BARAT,386.0,2015.0,4452,4798.0,2447.0,1406.0,58
2022-07-11,MALUKU UTARA,286.0,1070.0,4393,5073.0,2340.0,1118.0,256
2022-07-11,GORONTALO,260.0,1321.0,4371,4162.0,2539.0,1200.0,50
2022-07-11,DKI JAKARTA,40471.0,129365.0,352918,381132.0,239534.0,125372.0,14084
2022-07-11,JAWA BARAT,35164.0,120482.0,301020,318791.0,222950.0,104652.0,13770
2022-07-11,JAWA TIMUR,13534.0,44647.0,140844,157404.0,136327.0,85591.0,1185
2022-07-11,DKI JAKARTA,40470.0,129366.0,352919,381131.0,239534.0,125372.0,14084
2022-07-11,JAWA BARAT,35164.0,120482.0,301020,318791.0,222951.0,104651.0,13770
2022-07-11,BANTEN,9229.0,29414.0,88409,92293.0,57229.0,23114.0,366
2022-07-10,DKI JAKARTA,40442.0,129276.0,352678,380889.0,239414.0,125281.0,14084
2022-07-10,JAWA BARAT,35158.0,120458.0,300927,318695.0,222891.0,104624.0,13770
2022-07-10,JAWA TENGAH,18432.0,61319.0,149785,163942.0,144174.0,90725.0,260
2022-07-10,JAWA TIMUR,13527.0,44637.0,140813,157378.0,136313.0,85581.0,1185
