tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-08,1,1,0,0,1,0,1,0
2020-03-09,0,0,0,0,1,0,1,0
2020-03-10,0,0,0,0,1,0,1,0
2020-03-11,2,1,1,0,3,1,2,0
2020-03-12,0,0,0,0,3,1,2,0
2020-03-13,0,0,0,0,3,1,2,0
2020-03-14,1,0,0,1,4,1,2,1
2020-03-15,1,0,1,0,5,2,2,1
2020-03-16,1,0,0,1,6,2,2,2
2020-03-17,1,0,1,0,7,3,2,2
2020-03-18,3,1,0,2,10,3,3,4
2020-03-19,1,0,0,1,11,3,3,5
2020-03-20,4,0,1,3,15,4,3,8
2020-03-21,1,1,0,0,16,4,4,8
2020-03-22,1,0,1,0,17,5,4,8
2020-03-23,3,0,0,3,20,5,4,11
2020-03-24,2,1,1,0,22,6,5,11
2020-03-25,22,1,1,20,44,7,6,31
2020-03-26,4,0,1,3,48,8,6,34
2020-03-27,8,1,1,6,56,9,7,40
2020-03-28,15,2,2,11,71,11,9,51
2020-03-29,10,3,0,7,81,11,12,58
2020-03-30,17,1,1,15,98,12,13,73
2020-03-31,15,2,0,13,113,12,15,86
2020-04-01,18,8,16,-6,131,28,23,80
2020-04-02,5,2,2,1,136,30,25,81
2020-04-03,19,1,5,13,155,35,26,94
2020-04-04,15,1,3,11,170,38,27,105
2020-04-05,3,0,0,3,173,38,27,108
2020-04-06,19,5,1,13,192,39,32,121
2020-04-07,8,0,0,8,200,39,32,129
2020-04-08,15,3,2,10,215,41,35,139
2020-04-09,11,1,5,5,226,46,36,144
2020-04-10,2,0,0,2,228,46,36,146
2020-04-11,7,1,0,6,235,46,37,152
2020-04-12,57,1,1,55,292,47,38,207
2020-04-13,10,1,1,8,302,48,39,215
2020-04-14,81,1,3,77,383,51,40,292
2020-04-15,25,2,2,21,408,53,42,313
2020-04-16,15,3,4,8,423,57,45,321
2020-04-17,14,4,16,-6,437,73,49,315
2020-04-18,38,0,7,31,475,80,49,346
2020-04-19,24,2,0,22,499,80,51,368
2020-04-20,7,2,6,-1,506,86,53,367
2020-04-21,103,2,2,99,609,88,55,466
2020-04-22,40,2,9,29,649,97,57,495
2020-04-23,68,2,11,55,717,108,59,550
2020-04-24,41,4,4,33,758,112,63,583
2020-04-25,52,2,11,39,810,123,65,622
2020-04-26,38,0,3,35,848,126,65,657
2020-04-27,22,2,13,7,870,139,67,664
2020-04-28,21,1,13,7,891,152,68,671
2020-04-29,41,3,8,30,932,160,71,701
2020-04-30,18,1,12,5,950,172,72,706
2020-05-01,28,3,10,15,978,182,75,721
2020-05-02,28,1,10,17,1006,192,76,738
2020-05-03,16,1,11,4,1022,203,77,742
2020-05-04,27,0,10,17,1049,213,77,759
2020-05-05,51,0,22,29,1100,235,77,788
2020-05-06,54,1,35,18,1154,270,78,806
2020-05-07,15,1,22,-8,1169,292,79,798
2020-05-08,44,0,39,5,1213,331,79,803
2020-05-09,31,2,17,12,1244,348,81,815
2020-05-10,23,1,6,16,1267,354,82,831
2020-05-11,3,0,6,-3,1270,360,82,828
2020-05-12,18,2,5,11,1288,365,84,839
2020-05-13,36,0,6,30,1324,371,84,869
2020-05-14,59,1,9,49,1383,380,85,918
2020-05-15,48,0,10,38,1431,390,85,956
2020-05-16,43,1,8,34,1474,398,86,990
2020-05-17,25,0,5,20,1499,403,86,1010
2020-05-18,15,2,9,4,1514,412,88,1014
2020-05-19,24,0,14,10,1538,426,88,1024
2020-05-20,24,0,9,15,1562,435,88,1039
2020-05-21,27,0,9,18,1589,444,88,1057
2020-05-22,25,0,10,15,1614,454,88,1072
2020-05-23,53,0,15,38,1667,469,88,1110
2020-05-24,21,0,5,16,1688,474,88,1126
2020-05-25,10,0,3,7,1698,477,88,1133
2020-05-26,8,0,28,-20,1706,505,88,1113
2020-05-27,12,1,1,10,1718,506,89,1123
2020-05-28,16,1,7,8,1734,513,90,1131
2020-05-29,17,1,64,-48,1751,577,91,1083
2020-05-30,24,0,25,-1,1775,602,91,1082
2020-05-31,36,0,10,26,1811,612,91,1108
2020-06-01,23,2,9,12,1834,621,93,1120
2020-06-02,33,0,12,21,1867,633,93,1141
2020-06-03,32,3,11,18,1899,644,96,1159
2020-06-04,38,4,16,18,1937,660,100,1177
2020-06-05,66,9,41,16,2003,701,109,1193
2020-06-06,54,2,22,30,2057,723,111,1223
2020-06-07,70,20,16,34,2127,739,131,1257
2020-06-08,86,5,45,36,2213,784,136,1293
2020-06-09,44,6,88,-50,2257,872,142,1243
2020-06-10,141,4,127,10,2398,999,146,1253
2020-06-11,57,4,16,37,2455,1015,150,1290
2020-06-12,52,1,48,3,2507,1063,151,1293
2020-06-13,91,3,37,51,2598,1100,154,1344
2020-06-14,101,7,27,67,2699,1127,161,1411
2020-06-15,123,20,45,58,2822,1172,181,1469
2020-06-16,69,5,20,44,2891,1192,186,1513
2020-06-17,126,8,75,43,3017,1267,194,1556
2020-06-18,74,10,36,28,3091,1303,204,1584
2020-06-19,111,9,33,69,3202,1336,213,1653
2020-06-20,127,2,37,88,3329,1373,215,1741
2020-06-21,108,1,35,72,3437,1408,216,1813
2020-06-22,79,7,42,30,3516,1450,223,1843
2020-06-23,84,7,59,18,3600,1509,230,1861
2020-06-24,103,6,33,64,3703,1542,236,1925
2020-06-25,120,2,32,86,3823,1574,238,2011
2020-06-26,220,7,51,162,4043,1625,245,2173
2020-06-27,191,4,38,149,4234,1663,249,2322
2020-06-28,161,3,29,129,4395,1692,252,2451
2020-06-29,209,2,72,135,4604,1764,254,2586
2020-06-30,172,28,157,-13,4776,1921,282,2573
2020-07-01,190,3,102,85,4966,2023,285,2658
2020-07-02,158,4,29,125,5124,2052,289,2783
2020-07-03,137,13,83,41,5261,2135,302,2824
2020-07-04,122,19,116,-13,5383,2251,321,2811
2020-07-05,203,16,30,157,5586,2281,337,2968
2020-07-06,189,24,76,89,5775,2357,361,3057
2020-07-07,176,4,87,85,5951,2444,365,3142
2020-07-08,191,16,101,74,6142,2545,381,3216
2020-07-09,154,5,34,115,6296,2579,386,3331
2020-07-10,132,20,173,-61,6428,2752,406,3270
2020-07-11,143,6,21,116,6571,2773,412,3386
