tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-26,1,0,1,0,1,1,0,0
2020-03-27,0,0,0,0,1,1,0,0
2020-03-28,0,0,0,0,1,1,0,0
2020-03-29,0,0,0,0,1,1,0,0
2020-03-30,0,0,0,0,1,1,0,0
2020-03-31,0,0,0,0,1,1,0,0
2020-04-01,1,0,0,1,2,1,0,1
2020-04-02,0,0,0,0,2,1,0,1
2020-04-03,0,0,0,0,2,1,0,1
2020-04-04,0,1,0,-1,2,1,1,0
2020-04-05,0,0,0,0,2,1,1,0
2020-04-06,2,0,0,2,4,1,1,2
2020-04-07,2,1,0,1,6,1,2,3
2020-04-08,0,0,0,0,6,1,2,3
2020-04-09,0,0,0,0,6,1,2,3
2020-04-10,5,1,0,4,11,1,3,7
2020-04-11,0,0,1,-1,11,2,3,6
2020-04-12,4,0,0,4,15,2,3,10
2020-04-13,0,0,0,0,15,2,3,10
2020-04-14,0,0,0,0,15,2,3,10
2020-04-15,1,0,0,1,16,2,3,11
2020-04-16,0,0,1,-1,16,3,3,10
2020-04-17,0,0,0,0,16,3,3,10
2020-04-18,2,0,0,2,18,3,3,12
2020-04-19,0,0,0,0,18,3,3,12
2020-04-20,0,0,0,0,18,3,3,12
2020-04-21,0,0,0,0,18,3,3,12
2020-04-22,0,0,0,0,18,3,3,12
2020-04-23,11,0,2,9,29,5,3,21
2020-04-24,4,0,0,4,33,5,3,25
2020-04-25,0,0,0,0,33,5,3,25
2020-04-26,4,0,6,-2,37,11,3,23
2020-04-27,0,0,0,0,37,11,3,23
2020-04-28,3,0,0,3,40,11,3,26
2020-04-29,1,0,1,0,41,12,3,26
2020-04-30,1,1,0,0,42,12,4,26
2020-05-01,0,0,0,0,42,12,4,26
2020-05-02,0,0,2,-2,42,14,4,24
2020-05-03,0,0,0,0,42,14,4,24
2020-05-04,0,0,0,0,42,14,4,24
2020-05-05,0,0,0,0,42,14,4,24
2020-05-06,0,0,0,0,42,14,4,24
2020-05-07,0,0,0,0,42,14,4,24
2020-05-08,2,0,0,2,44,14,4,26
2020-05-09,6,1,0,5,50,14,5,31
2020-05-10,16,1,0,15,66,14,6,46
2020-05-11,0,0,0,0,66,14,6,46
2020-05-12,3,0,9,-6,69,23,6,40
2020-05-13,8,0,0,8,77,23,6,48
2020-05-14,1,1,4,-4,78,27,7,44
2020-05-15,18,1,0,17,96,27,8,61
2020-05-16,6,0,1,5,102,28,8,66
2020-05-17,0,4,0,-4,102,28,12,62
2020-05-18,2,1,0,1,104,28,13,63
2020-05-19,9,0,0,9,113,28,13,72
2020-05-20,19,1,0,18,132,28,14,90
2020-05-21,27,3,0,24,159,28,17,114
2020-05-22,15,3,0,12,174,28,20,126
2020-05-23,2,2,1,-1,176,29,22,125
2020-05-24,24,1,2,21,200,31,23,146
2020-05-25,7,1,0,6,207,31,24,152
2020-05-26,19,4,1,14,226,32,28,166
2020-05-27,13,2,1,10,239,33,30,176
2020-05-28,10,0,2,8,249,35,30,184
2020-05-29,8,0,1,7,257,36,30,191
2020-05-30,14,0,1,13,271,37,30,204
2020-05-31,12,1,10,1,283,47,31,205
2020-06-01,0,0,1,-1,283,48,31,204
2020-06-02,12,0,0,12,295,48,31,216
2020-06-03,18,4,4,10,313,52,35,226
2020-06-04,4,0,6,-2,317,58,35,224
2020-06-05,7,1,0,6,324,58,36,230
2020-06-06,59,1,0,58,383,58,37,288
2020-06-07,20,1,2,17,403,60,38,305
