tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-03-26,1,0,0,1,1,0,0,1
2020-03-27,0,0,0,0,1,0,0,1
2020-03-28,1,0,0,1,2,0,0,2
2020-03-29,0,0,0,0,2,0,0,2
2020-03-30,0,0,0,0,2,0,0,2
2020-03-31,0,0,0,0,2,0,0,2
2020-04-01,0,0,0,0,2,0,0,2
2020-04-02,0,1,0,-1,2,0,1,1
2020-04-03,2,1,0,1,4,0,2,2
2020-04-04,0,0,0,0,4,0,2,2
2020-04-05,1,0,0,1,5,0,2,3
2020-04-06,0,0,0,0,5,0,2,3
2020-04-07,0,0,2,-2,5,2,2,1
2020-04-08,0,0,0,0,5,2,2,1
2020-04-09,0,0,0,0,5,2,2,1
2020-04-10,9,0,0,9,14,2,2,10
2020-04-11,5,0,0,5,19,2,2,15
2020-04-12,0,0,0,0,19,2,2,15
2020-04-13,0,1,0,-1,19,2,3,14
2020-04-14,0,0,0,0,19,2,3,14
2020-04-15,3,0,0,3,22,2,3,17
2020-04-16,0,0,0,0,22,2,3,17
2020-04-17,2,0,0,2,24,2,3,19
2020-04-18,0,0,0,0,24,2,3,19
2020-04-19,3,0,0,3,27,2,3,22
2020-04-20,0,0,0,0,27,2,3,22
2020-04-21,0,0,1,-1,27,3,3,21
2020-04-22,2,0,0,2,29,3,3,23
2020-04-23,0,0,0,0,29,3,3,23
2020-04-24,3,0,0,3,32,3,3,26
2020-04-25,4,0,0,4,36,3,3,30
2020-04-26,0,0,1,-1,36,4,3,29
2020-04-27,0,0,0,0,36,4,3,29
2020-04-28,6,0,4,2,42,8,3,31
2020-04-29,5,0,0,5,47,8,3,36
2020-04-30,0,0,0,0,47,8,3,36
2020-05-01,0,0,3,-3,47,11,3,33
2020-05-02,12,0,0,12,59,11,3,45
2020-05-03,0,0,0,0,59,11,3,45
2020-05-04,0,0,0,0,59,11,3,45
2020-05-05,11,0,1,10,70,12,3,55
2020-05-06,0,0,0,0,70,12,3,55
2020-05-07,5,0,0,5,75,12,3,60
2020-05-08,0,0,0,0,75,12,3,60
2020-05-09,0,0,0,0,75,12,3,60
2020-05-10,8,0,0,8,83,12,3,68
2020-05-11,0,0,1,-1,83,13,3,67
2020-05-12,12,0,0,12,95,13,3,79
2020-05-13,7,1,7,-1,102,20,4,78
2020-05-14,9,0,1,8,111,21,4,86
2020-05-15,1,0,0,1,112,21,4,87
2020-05-16,1,0,1,0,113,22,4,87
2020-05-17,2,0,2,0,115,24,4,87
2020-05-18,0,0,2,-2,115,26,4,85
2020-05-19,0,0,0,0,115,26,4,85
2020-05-20,0,0,0,0,115,26,4,85
2020-05-21,2,0,11,-9,117,37,4,76
2020-05-22,1,0,0,1,118,37,4,77
2020-05-23,1,0,0,1,119,37,4,78
2020-05-24,0,0,9,-9,119,46,4,69
2020-05-25,0,0,0,0,119,46,4,69
2020-05-26,0,0,2,-2,119,48,4,67
2020-05-27,0,0,2,-2,119,50,4,65
2020-05-28,5,0,2,3,124,52,4,68
2020-05-29,0,0,0,0,124,52,4,68
2020-05-30,0,0,0,0,124,52,4,68
2020-05-31,1,0,9,-8,125,61,4,60
2020-06-01,0,0,0,0,125,61,4,60
2020-06-02,0,0,0,0,125,61,4,60
2020-06-03,1,0,3,-2,126,64,4,58
2020-06-04,0,0,6,-6,126,70,4,52
2020-06-05,6,0,8,-2,132,78,4,50
2020-06-06,3,0,9,-6,135,87,4,44
2020-06-07,20,0,5,15,155,92,4,59
2020-06-08,0,0,0,0,155,92,4,59
